Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Town/City,Postcode,Country,Reference,Category
17/09/2025,EXPEDIA 72066318692577  EXPEDIA.CO.UK,79.12,,EXPEDIA 72066318692577  EXPEDIA.CO.UK,"CALLE VILLALBA HERVAS 9 PLANTA 8
EFICICIO CAMACHO",LONDON,AA00 0AA,UNITED KINGDOM OF GB AND NI,'AT252610046000011146986',Travel-Travel Agencies
17/09/2025,TRAINLINE Trainline     LONDON,41.09,,TRAINLINE Trainline     LONDON,120 HOLBORN,LONDON,EC1N 2TD,UNITED KINGDOM OF GB AND NI,'AT252610046000011145827',Travel-Rail Services
16/09/2025,BRITISH AIRWAYS GB DIRE WEST DRAYTON,42.50,"ROUTING:    FROM:     LONDON HEATHROW AP
TO:       AMSTERDAM         CARRIER:        BA  CLASS:          X
TICKET NUMBER:  1252218340897           PASSENGER NAME: MR PHILLIP LINDLEY",BRITISH AIRWAYS GB DIRE WEST DRAYTON,"WATERSIDE HDA1
HARMONSWORTH",WEST DRAYTON,UB7 0GB,UNITED KINGDOM OF GB AND NI,'AT252610046000011165696',Travel-Airline
15/09/2025,MICROSOFT*ULTIMATE 1 MO MSBILL.INFO,14.99,,MICROSOFT*ULTIMATE 1 MO MSBILL.INFO,"MICROSOFT CAMPUS
THAMES VALLEY PARK
BERKSHIRE",READING,RG6 1WG,UNITED KINGDOM OF GB AND NI,'AT252590038000011160136',General Purchases-Online Purchases
14/09/2025,AMZN DIGITAL            353-12477661,14.99,,AMZN DIGITAL            353-12477661,1 PRINCIPAL PLACE,WORSHIP STREET,EC2A 2FA,UNITED KINGDOM OF GB AND NI,'AT252580046000011093445',General Purchases-Online Purchases
14/09/2025,AMZNMKTPLACE*Z08B51NJ4  AMAZON.CO.UK,58.89,,AMZNMKTPLACE*Z08B51NJ4  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT252590038000011123447',General Purchases-Online Purchases
14/09/2025,AVIS CENTRAL SCHIPHOL A 74169,169.32,,AVIS CENTRAL SCHIPHOL A 74169,AVIS BUDGET HOUSE,BRACKNELL,RG12 2EW,UNITED KINGDOM OF GB AND NI,'AT252590038000011140335',Travel-Vehicle Rental
14/09/2025,BRISTOL AIRPORT         BRISTOL,-122.83,,BRISTOL AIRPORT         BRISTOL,FINANCE DEPARTMENT,BRISTOL,BS48 3DY,UNITED KINGDOM OF GB AND NI,'AT252580046000011059642',General Purchases-Parking Charges
14/09/2025,BRISTOL AIRPORT         BRISTOL,140.25,,BRISTOL AIRPORT         BRISTOL,FINANCE DEPARTMENT,BRISTOL,BS48 3DY,UNITED KINGDOM OF GB AND NI,'AT252580046000011059643',General Purchases-Parking Charges
14/09/2025,EASYJET                 LUTON,49.00,"ROUTING:    FROM:     BRISTOL
TO:       AMSTERDAM         CARRIER:        U2  CLASS:          Y
TO:       BRISTOL           CARRIER:        U2  CLASS:          Y
TICKET NUMBER:  KB4K33X                 PASSENGER NAME: MIRON FABINY",EASYJET                 LUTON,HANGER 89 LONDON LUTON AIRPORT,LUTON,LU2 9PF,UNITED KINGDOM OF GB AND NI,'AT252580046000011104631',Travel-Airline
14/09/2025,PRIME VIDEO RENT / BUY  AMZN.UK/BILL,3.49,,PRIME VIDEO RENT / BUY  AMZN.UK/BILL,"1 PRINCIPAL PLACE
WORSHIP STREET",LONDON,EC2A 2FA,UNITED KINGDOM OF GB AND NI,'AT252580046000011093616',General Purchases-Online Purchases
14/09/2025,STORE                   HAVERFORDWEST,16.24,,STORE                   HAVERFORDWEST,WELL ROAD MERLINS BRIDGE,HAVERFORDWEST,SA61 1XU,UNITED KINGDOM OF GB AND NI,'AT252590038000011114093',Entertainment-Bars & Cafés
13/09/2025,AUDIBLE UK              ADBL.CO/PYMT,8.99,,AUDIBLE UK              ADBL.CO/PYMT,500 CHISWICK HIGH ROAD,LONDON,W4 5RG,UNITED KINGDOM OF GB AND NI,'AT252560065000010108778',General Purchases-Online Purchases
12/09/2025,TESCO STORE 2647 2647TE HAVERFORDWEST,7.80,,TESCO STORE 2647 2647TE HAVERFORDWEST,"FENTON TRADING ESTATE
PORTFIELD",HAVERFORDWEST,SA62 4PF,UNITED KINGDOM OF GB AND NI,'AT252550044000011135216',General Purchases-Groceries
11/09/2025,THE ROYAL MARSDEN       LONDON,50.00,,THE ROYAL MARSDEN       LONDON,FULHAM ROAD,LONDON,SW3,UNITED KINGDOM OF GB AND NI,'AT252540054000010621667',Miscellaneous-Charities
11/09/2025,X CORP. PAID FEATURES   BASTROP,8.00,,X CORP. PAID FEATURES   BASTROP,"865 FM1209
BUILDING 2",BASTROP,78602,UNITED STATES,'AT252540054000010590838',General Purchases-Online Purchases
10/09/2025,AMAZON.CO.UK*Z818Z7A34  AMAZON.CO.UK,18.04,,AMAZON.CO.UK*Z818Z7A34  AMAZON.CO.UK,60 HOLBORN VIADUCT,LONDON,EC1A 2FD,UNITED KINGDOM OF GB AND NI,'AT252540054000010598062',General Purchases-Online Purchases
09/09/2025,PAYMENT RECEIVED - THANK YOU,-2069.50,,PAYMENT RECEIVED - THANK YOU,,,,,'10000000010905999795980',
09/09/2025,TESCO PETROL 3856 3856T HAVERFORDWEST,57.19,,TESCO PETROL 3856 3856T HAVERFORDWEST,"FENTON TRADING ESTATE
PORTFIELD",HAVERFORDWEST,SA62 4PE,UNITED KINGDOM OF GB AND NI,'AT252520046000011022442',General Purchases-Fuel
07/09/2025,TELLO US TELLO US       ATLANTA,7.45,Foreign Spend Amount: 9.74 UNITED STATES DOLLAR Commission Amount: 0.22 Currency Exchange Rate: 1.3471,TELLO US TELLO US       ATLANTA,4780 ASHFORD DUNWOODY RD,ATLANTA,30338,UNITED STATES,'AT252510046000011120650',General Purchases-Online Purchases
06/09/2025,KLM                     LONDON,496.62,"ROUTING:    FROM:     LONDON HEATHROW AP
TO:       MIAMI INTERNATIONACARRIER:        AF  CLASS:          V
TO:       LONDON HEATHROW APCARRIER:        AF  CLASS:          V
TICKET NUMBER:  07421283425216          PASSENGER NAME: FABINY/MIRON MR",KLM                     LONDON,SUBMISSIONS GBP,UK,A1,UNITED KINGDOM OF GB AND NI,'AT252510046000011076763',Travel-Airline
06/09/2025,KLM                     LONDON,496.62,"ROUTING:    FROM:     LONDON HEATHROW AP
TO:       MIAMI INTERNATIONACARRIER:        AF  CLASS:          V
TO:       LONDON HEATHROW APCARRIER:        AF  CLASS:          V
TICKET NUMBER:  07421283425220          PASSENGER NAME: LINDLEY/KATARINA DROZDIA",KLM                     LONDON,SUBMISSIONS GBP,UK,A1,UNITED KINGDOM OF GB AND NI,'AT252510046000011076764',Travel-Airline
06/09/2025,KLM                     LONDON,496.62,"ROUTING:    FROM:     LONDON HEATHROW AP
TO:       MIAMI INTERNATIONACARRIER:        AF  CLASS:          V
TO:       LONDON HEATHROW APCARRIER:        AF  CLASS:          V
TICKET NUMBER:  07421283425231          PASSENGER NAME: LINDLEY/PHILLIP MR",KLM                     LONDON,SUBMISSIONS GBP,UK,A1,UNITED KINGDOM OF GB AND NI,'AT252510046000011076765',Travel-Airline
06/09/2025,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,20.00,,OPENAI *CHATGPT SUBSCR  SAN FRANCISCO,"3180 18TH ST
STE 100",SAN FRANCISCO,94110,UNITED STATES,'AT252490038000011288326',General Purchases-Computer Supplies
05/09/2025,PADDLE.NET* MAGICPAGES  LONDON,13.80,,PADDLE.NET* MAGICPAGES  LONDON,70 WILSON STREET,LONDON,EC2A 2DB,UNITED KINGDOM OF GB AND NI,'AT252480047000011186222',General Purchases-Computer Supplies
05/09/2025,TESCO STORE 2647 2647TE HAVERFORDWEST,33.00,,TESCO STORE 2647 2647TE HAVERFORDWEST,"FENTON TRADING ESTATE
PORTFIELD",HAVERFORDWEST,SA62 4PF,UNITED KINGDOM OF GB AND NI,'AT252480047000011188474',General Purchases-Groceries
04/09/2025,AMZNMKTPLACE*ZT53Q7FX4  AMAZON.CO.UK,34.43,,AMZNMKTPLACE*ZT53Q7FX4  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT252470074000010118295',General Purchases-Online Purchases
04/09/2025,AMZNMKTPLACE*ZT9G09NZ4  AMAZON.CO.UK,9.09,,AMZNMKTPLACE*ZT9G09NZ4  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT252480047000011167647',General Purchases-Online Purchases
04/09/2025,OAKLEY - GBP            MILAN,479.00,,OAKLEY - GBP            MILAN,2ND FLOOR VERULAM POINT STATION WAY,ST ALBANS,AL1 5HE,UNITED KINGDOM OF GB AND NI,'AT252480047000011179009',General Purchases-Clothing Stores
04/09/2025,PAYMENT RECEIVED - THANK YOU,-1450.00,,PAYMENT RECEIVED - THANK YOU,,,,,'AT252470099000010018394',
03/09/2025,AMZNMKTPLACE*RK6H96W44  AMAZON.CO.UK,5.99,,AMZNMKTPLACE*RK6H96W44  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT252470046000011137557',General Purchases-Online Purchases
03/09/2025,AMZNMKTPLACE*ZT4VP5OH4  AMAZON.CO.UK,7.97,,AMZNMKTPLACE*ZT4VP5OH4  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT252470074000010117899',General Purchases-Online Purchases
03/09/2025,AMZNMKTPLACE*ZT5VR2NK4  AMAZON.CO.UK,84.98,,AMZNMKTPLACE*ZT5VR2NK4  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT252480047000011167796',General Purchases-Online Purchases
03/09/2025,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,150.00,,CLAUDE.AI SUBSCRIPTION  SAN FRANCISCO,731 SANSOME ST,SAN FRANCISCO,94111,UNITED STATES,'AT252460044000011086862',General Purchases-Computer Supplies
02/09/2025,AMZNMKTPLACE*RK3MZ2YE4  AMAZON.CO.UK,69.68,,AMZNMKTPLACE*RK3MZ2YE4  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT252470046000011137758',General Purchases-Online Purchases
01/09/2025,AMZNMKTPLACE*RK8ZP45P4  AMAZON.CO.UK,16.99,,AMZNMKTPLACE*RK8ZP45P4  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT252450047000011103422',General Purchases-Online Purchases
01/09/2025,APPLE.COM/BILL          HOLLYHILL,-19.99,,APPLE.COM/BILL          HOLLYHILL,"SUBMISSIONS UK
8-10 MATHIAS HARDT",LUXEMBOURG,L-0717,,'AT252440074000010138663',General Purchases-Computer Supplies
01/09/2025,GOOGLE                  DUBLIN,7.00,,GOOGLE                  DUBLIN,70 SIR JOHN ROGERSONS QUAY,DUBLIN,DUBLIN 2,IRELAND,'AT252440053000011123877',General Purchases-Computer Supplies
31/08/2025,BRISTOL AIRPORT         BRISTOL,122.83,,BRISTOL AIRPORT         BRISTOL,FINANCE DEPARTMENT,BRISTOL,BS48 3DY,UNITED KINGDOM OF GB AND NI,'AT252440053000011110212',General Purchases-Parking Charges
31/08/2025,EASYJET                 LUTON,160.45,"ROUTING:    FROM:     BRISTOL
TO:       AMSTERDAM         CARRIER:        U2  CLASS:          Y
TO:       BRISTOL           CARRIER:        U2  CLASS:          Y
TICKET NUMBER:  KB4K33X                 PASSENGER NAME: MIRON FABINY",EASYJET                 LUTON,HANGER 89 LONDON LUTON AIRPORT,LUTON,LU2 9PF,UNITED KINGDOM OF GB AND NI,'AT252430037000011312935',Travel-Airline
31/08/2025,GLOBALE*/LOGITECH       LONDON,157.98,,GLOBALE*/LOGITECH       LONDON,154 CLERKENWELL ROAD,LONDON,EC1R 5AB,UNITED KINGDOM OF GB AND NI,'AT252450047000011095660',General Purchases-Online Purchases
30/08/2025,ONE FISH STREET         BRISTOL,100.00,,ONE FISH STREET         BRISTOL,17 CHANDOS ROAD,BRISTOL,BS6,UNITED KINGDOM OF GB AND NI,'AT252430037000011352168',Entertainment-Restaurants
30/08/2025,SP UNTAMED              LONDON,32.60,,SP UNTAMED              LONDON,85 GREAT PORTLAND STREET,LONDON,W1W,UNITED KINGDOM OF GB AND NI,'AT252420037000011112409',General Purchases-General Retail
30/08/2025,WM MORRISONS STORES - B HAVERFORDWEST,11.50,,WM MORRISONS STORES - B HAVERFORDWEST,BRIDGE MEADOW LANE,HAVERFORDWEST,SA61 2EX,UNITED KINGDOM OF GB AND NI,'AT252430037000011367778',General Purchases-Groceries
29/08/2025,AMZNMKTPLACE*RK8JL9M74  AMAZON.CO.UK,71.90,,AMZNMKTPLACE*RK8JL9M74  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT252450047000011101427',General Purchases-Online Purchases
29/08/2025,AMZNMKTPLACE*RK9YU0ZI4  AMAZON.CO.UK,49.92,,AMZNMKTPLACE*RK9YU0ZI4  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT252430037000011309731',General Purchases-Online Purchases
28/08/2025,WASABI SUSHI BENTO LIMI LONDON,22.85,,WASABI SUSHI BENTO LIMI LONDON,"PADDINGTON UNIT 12 THE LAWN
PADDINGTON LAWN
PADDINGTON STATION
BRIDGE STREET",LONDON,W2 1HA,UNITED KINGDOM OF GB AND NI,'AT252400047000011129045',Entertainment-Bars & Cafés
26/08/2025,DINES* NOVELLO THEATRE  LONDON,27.00,,DINES* NOVELLO THEATRE  LONDON,ALDWYCH,LONDON,WC2B 4LD,UNITED KINGDOM OF GB AND NI,'AT252390045000011084913',Entertainment-Restaurants
26/08/2025,MAMMA MIA! TICKETS      LONDON,145.50,,MAMMA MIA! TICKETS      LONDON,1 BEDFORD SQUARE,LONDON,WC1B,UNITED KINGDOM OF GB AND NI,'AT252380081000010136203',Entertainment-General Events
26/08/2025,THE Z HOTEL STRAND 415  LONDON,89.10,,THE Z HOTEL STRAND 415  LONDON,415 STRAND,LONDON,WC2R 0JT,UNITED KINGDOM OF GB AND NI,'AT252400047000011112909',Travel-Lodging
25/08/2025,7226 - PHOENIX          BAYSWATER,16.00,,7226 - PHOENIX          BAYSWATER,51 MOSCOW ROAD,LONDON,W2 4AL,UNITED KINGDOM OF GB AND NI,'AT252380045000011112189',Entertainment-Bars & Cafés
25/08/2025,878 - TK MAXX           LONDON,46.45,,878 - TK MAXX           LONDON,"UNIT 3
508-520 OXFORD STREET",LONDON,W1C 1NB,UNITED KINGDOM OF GB AND NI,'AT252380045000011112588',General Purchases-Clothing Stores
25/08/2025,DOJO*EUSTON METRO       LONDON,7.37,,DOJO*EUSTON METRO       LONDON,4 EVERSHOLT STREET,LONDON,NW1 1BR,UNITED KINGDOM OF GB AND NI,'AT252370036000011198314',General Purchases-Groceries
25/08/2025,MCDONALDS 291 OXFORD ST LONDON,15.47,GOODS,MCDONALDS 291 OXFORD ST LONDON,291 OXFORD STREET,LONDON,W1R 1LB,UNITED KINGDOM OF GB AND NI,'AT252380045000011118945',Entertainment-Bars & Cafés
25/08/2025,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,2.80,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT252380045000011132506',Travel-Other Travel
25/08/2025,Z HOTELS HOLBORN 4 WILD LONDON,61.55,,Z HOTELS HOLBORN 4 WILD LONDON,4 WILDCOURT,LONDON,WC2B 4AU,UNITED KINGDOM OF GB AND NI,'AT252390045000011086175',Travel-Lodging
24/08/2025,CAFFE NERO EUSTON UPPER LONDON,10.10,,CAFFE NERO EUSTON UPPER LONDON,"CAFFE NERO
8-11 UPPER WOBURN PLACE",LONDON,WC1H 0HY,UNITED KINGDOM OF GB AND NI,'AT252380045000011159876',Entertainment-Restaurants
24/08/2025,DOJO*HANGAR BAR         LONDON,16.22,,DOJO*HANGAR BAR         LONDON,"28 EAST BAY LANE
UNIT 2
ECHO BUILDING",LONDON,E15 2SJ,UNITED KINGDOM OF GB AND NI,'AT252370036000011198482',Entertainment-Bars & Cafés
24/08/2025,SUMUP*HACKNEY BRIDGE LI LONDON,15.00,,SUMUP*HACKNEY BRIDGE LI LONDON,15 PARK STREET,LONDON,SE1 9AB,UNITED KINGDOM OF GB AND NI,'AT252370036000011179798',Entertainment-Bars & Cafés
24/08/2025,SUMUP*HACKNEY BRIDGE LI LONDON,17.00,,SUMUP*HACKNEY BRIDGE LI LONDON,15 PARK STREET,LONDON,SE1 9AB,UNITED KINGDOM OF GB AND NI,'AT252370036000011179811',Entertainment-Bars & Cafés
24/08/2025,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,5.80,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT252370036000011201977',Travel-Other Travel
23/08/2025,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.35,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT252360037000011279667',Travel-Other Travel
22/08/2025,BONITA                  London,30.00,,BONITA                  London,117 TIVOLI COURT,LONDON,SE165UD,UNITED KINGDOM OF GB AND NI,'AT252350033000011251172',Business Services-Other Services
22/08/2025,DOJO*TOWY SPORTS BAR    CAERFYRDDIN,15.75,,DOJO*TOWY SPORTS BAR    CAERFYRDDIN,BRIDGE WHARF STATION APPROACH,CAERFYRDDIN,SA31 2BE,UNITED KINGDOM OF GB AND NI,'AT252350033000011235025',Entertainment-Bars & Cafés
22/08/2025,FIRST GREATER WESTERN   SWINDON,6.00,,FIRST GREATER WESTERN   SWINDON,1 MILFORD STREET,SWINDON,SN1 1HL,UNITED KINGDOM OF GB AND NI,'AT252350033000011231296',Travel-Rail Services
22/08/2025,FIRST GREATER WESTERN   SWINDON,12.80,,FIRST GREATER WESTERN   SWINDON,1 MILFORD STREET,SWINDON,SN1 1HL,UNITED KINGDOM OF GB AND NI,'AT252350033000011231295',Travel-Rail Services
22/08/2025,FOUR POINTS LONDON EUST LONDON,408.00,,FOUR POINTS LONDON EUST LONDON,8-11 UPPER WOBURN PLACE,LONDON,WC1H 0JW,UNITED KINGDOM OF GB AND NI,'AT252360037000011270824',Travel-Lodging
22/08/2025,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,2.90,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT252350033000011244289',Travel-Other Travel
22/08/2025,TRAINLINE Trainline     LONDON,152.30,,TRAINLINE Trainline     LONDON,120 HOLBORN,LONDON,EC1N 2TD,UNITED KINGDOM OF GB AND NI,'AT252350033000011249627',Travel-Rail Services
22/08/2025,UBER TRIP               HTTPS://HELP.UB,2.00,,UBER TRIP               HTTPS://HELP.UB,"ALDGATE TOWER FIRST FLOOR 2 LEHMAN
STREET",LONDON,E1 8FA,UNITED KINGDOM OF GB AND NI,'AT252350033000011258323',Travel-Taxis & Coach
22/08/2025,UBER TRIP               HTTPS://HELP.UB,11.90,,UBER TRIP               HTTPS://HELP.UB,"ALDGATE TOWER FIRST FLOOR 2 LEHMAN
STREET",LONDON,E1 8FA,UNITED KINGDOM OF GB AND NI,'AT252350033000011286492',Travel-Taxis & Coach
21/08/2025,SP UNTAMED              LONDON,7.00,,SP UNTAMED              LONDON,85 GREAT PORTLAND STREET,LONDON,W1W,UNITED KINGDOM OF GB AND NI,'AT252330073000010116613',General Purchases-General Retail
21/08/2025,SPRING HOLLOW LTD SA44  LLANDYSUL,50.00,,SPRING HOLLOW LTD SA44  LLANDYSUL,PANT Y FFYNNON VELINDRE,LLANDYSUL,SA44 5XS,UNITED KINGDOM OF GB AND NI,'AT252340047000011180677',General Purchases-Groceries
21/08/2025,THE OCEAN CAFE BAR & R  HAVERFORDWEST,48.85,,THE OCEAN CAFE BAR & R  HAVERFORDWEST,ST BRIDES BAY VIEW ENFIELD ROAD,BROAD HAVEN,SA62 3JG,UNITED KINGDOM OF GB AND NI,'AT252340047000011142205',Entertainment-Restaurants
20/08/2025,AMZNMKTPLACE*RU6CK45X4  AMAZON.CO.UK,19.37,,AMZNMKTPLACE*RU6CK45X4  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT252330073000010113407',General Purchases-Online Purchases
20/08/2025,EQUINE@PEMBSSHOW.ORG    HAVERFORDWEST,38.00,,EQUINE@PEMBSSHOW.ORG    HAVERFORDWEST,"""SHOW OFFICE, COUNTY SHOWGROUND, WITHYBUS""",HAVERFORDWEST,SA62,UNITED KINGDOM OF GB AND NI,'AT252320047000011073899',Entertainment-Clubs
19/08/2025,DOJO*KOKORO BRISTOL     BRISTOL,31.00,,DOJO*KOKORO BRISTOL     BRISTOL,23 25 QUEENS ROAD,BRISTOL,BS8 1QE,UNITED KINGDOM OF GB AND NI,'AT252320047000011085905',Entertainment-Restaurants
19/08/2025,"JD Wetherspoons PLC     Watford,",21.38,,"JD Wetherspoons PLC     Watford,",WETHERSPOON HOUSE REEDS CRESCENT,WATFORD,WD24 4QL,UNITED KINGDOM OF GB AND NI,'AT252320047000011079344',Entertainment-Bars & Cafés
19/08/2025,LIFEMILES COM CUR AX    SAN JOSE,9.18,"TICKET NUMBER:  :                       PASSENGER NAME:
Foreign Spend Amount: 12.00 UNITED STATES DOLLAR Commission Amount: 0.27 Currency Exchange Rate: 1.3468",LIFEMILES COM CUR AX    SAN JOSE,"""CASA MATRIZ,SAN JOSE.SAN JOSE""",SAN JOSE,,COSTA RICA,'AT252330044000011175876',Travel-Airline
19/08/2025,RESIDENT ADVISOR TICKET LONDON,16.50,,RESIDENT ADVISOR TICKET LONDON,26 HERTFORD ROAD,LONDON,N1 5QT,UNITED KINGDOM OF GB AND NI,'AT252310076000010169071',Entertainment-General Events
19/08/2025,TESCO PETROL 3876 3876T BRISTOL,92.99,,TESCO PETROL 3876 3876T BRISTOL,EASTGATE ROAD,BRISTOL,BS5 6XX,UNITED KINGDOM OF GB AND NI,'AT252310076000010164847',General Purchases-Fuel
18/08/2025,AMZNMKTPLACE*RU8TN44B4  AMAZON.CO.UK,32.55,,AMZNMKTPLACE*RU8TN44B4  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT252310047000011067052',General Purchases-Online Purchases
18/08/2025,AMZNMKTPLACE*RU96T24C4  AMAZON.CO.UK,3.99,,AMZNMKTPLACE*RU96T24C4  AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT252310047000011054981',General Purchases-Online Purchases
18/08/2025,KLM                     LONDON,231.60,TICKET NUMBER:  07441236879145          PASSENGER NAME: RAMIREZ RODRIGUEZ/LAURA,KLM                     LONDON,SUBMISSIONS GBP,UK,A1,UNITED KINGDOM OF GB AND NI,'AT252320047000011102819',Travel-Airline
18/08/2025,MCDONALDS (1002)        HAVERFORDWEST,13.36,GOODS,MCDONALDS (1002)        HAVERFORDWEST,CARADOCS WELL ROAD MERLINS BRIDGE,HAVERFORDWEST,SA61 1XJ,UNITED KINGDOM OF GB AND NI,'AT252310047000011039749',Entertainment-Bars & Cafés
18/08/2025,PADDLE.NET* MAGICPAGES  LONDON,5.52,,PADDLE.NET* MAGICPAGES  LONDON,70 WILSON STREET,LONDON,EC2A 2DB,UNITED KINGDOM OF GB AND NI,'AT252300052000011132902',General Purchases-Computer Supplies
18/08/2025,TESCO STORE 2647 2647TE HAVERFORDWEST,19.91,,TESCO STORE 2647 2647TE HAVERFORDWEST,"FENTON TRADING ESTATE
PORTFIELD",HAVERFORDWEST,SA62 4PF,UNITED KINGDOM OF GB AND NI,'AT252300089000010129781',General Purchases-Groceries
17/08/2025,BOOTS THE CHEMIST       HOUNSLOW,4.60,MERCHANDISE,BOOTS THE CHEMIST       HOUNSLOW,"TERMINAL 2 ARRIVALS
LONDON HEATHROW AIRPORT",HOUNSLOW,TW6 1EF,UNITED KINGDOM OF GB AND NI,'AT252300052000011120392',General Purchases-Pharmacies
15/08/2025,APPLE.COM/BILL          HOLLYHILL,19.99,,APPLE.COM/BILL          HOLLYHILL,"SUBMISSIONS UK
8-10 MATHIAS HARDT",LUXEMBOURG,L-0717,,'AT252270075000010118391',General Purchases-Computer Supplies
15/08/2025,MICROSOFT               MSBILL.INFO,14.99,,MICROSOFT               MSBILL.INFO,"MICROSOFT CAMPUS
THAMES VALLEY PARK
BERKSHIRE",READING,RG6 1WG,UNITED KINGDOM OF GB AND NI,'AT252270048000011220348',General Purchases-Online Purchases
13/08/2025,AUDIBLE UK              ADBL.CO/PYMT,8.99,,AUDIBLE UK              ADBL.CO/PYMT,500 CHISWICK HIGH ROAD,LONDON,W4 5RG,UNITED KINGDOM OF GB AND NI,'AT252250074000010147286',General Purchases-Online Purchases
09/08/2025,PAYMENT RECEIVED - THANK YOU,-1225.04,,PAYMENT RECEIVED - THANK YOU,,,,,'10000000010805999792110',
07/08/2025,WH SMITH 0788 311S      CARDIFF,13.00,WELBRK-STORES,WH SMITH 0788 311S      CARDIFF,"WELCOME BREAK GROUP LTD
CARDIFF GATE WHS
JUNCTION 36
M4 MOTORWAY",CARDIFF,CF23 8RA,UNITED KINGDOM OF GB AND NI,'AT252200041000011353308',Entertainment-Bars & Cafés
07/08/2025,WH SMITH HEATHROW T2    HOUNSLOW,25.12,GOODS,WH SMITH HEATHROW T2    HOUNSLOW,"TERMINAL 2 - THE QUEENS TERMINAL
LONDON HEATHROW AIRPORT",HOUNSLOW,TW6 1EW,UNITED KINGDOM OF GB AND NI,'AT252200041000011372016',Business Services-Office Supplies
06/08/2025,DOJO*HWB NARBERTH       ARBERTH,7.65,,DOJO*HWB NARBERTH       ARBERTH,"MOORFIELD HOUSE
MOORFIELD ROAD",ARBERTH,SA67 7AB,UNITED KINGDOM OF GB AND NI,'AT252190047000010946426',Entertainment-Bars & Cafés
06/08/2025,KLM                     LONDON,869.80,"ROUTING:    FROM:     MEXICO CITY BENITO
TO:       AMSTERDAM         CARRIER:        KL  CLASS:          V
TO:       BRISTOL           CARRIER:        KL  CLASS:          L
TO:       MEXICO CITY BENITOCARRIER:        AF  CLASS:          V
TICKET NUMBER:  07421272092021          PASSENGER NAME: RAMIREZ RODRIGUEZ/LAURA",KLM                     LONDON,SUBMISSIONS GBP,UK,A1,UNITED KINGDOM OF GB AND NI,'AT252200074000010078656',Travel-Airline
